usaf,wban,usafwban,station_id,station_name,ct,st,call_1,lat,lon,elev,begin_date,end_date
724026,99999,724026-99999,72402699999,ACCOMACK CO,US,VA,KMFV,37.647,-75.761,14,19750916,20071231
724026,3716,724026-3716,72402603716,ACCOMACK COUNTY AIRPORT,US,VA,KMFV,37.647,-75.761,14.3,20060101,20181023
695364,99999,695364-99999,69536499999,AFWA ASSIGNED,US,VA,KQNG,,,,20010627,20081015
724015,99999,724015-99999,72401599999,ALLEN C PERKINSON BLACKSTONE,US,VA,KBKT,37.074,-77.958,133.8,20030922,20181022
723180,99999,723180-99999,72318099999,BLACKSBURG,US,VA,,37.2,-80.4,641.9,19960101,20050403
999999,13726,999999-13726,99999913726,BLACKSTONE,US,VA,,37.067,-77.95,134.1,19490101,19590101
745985,99999,745985-99999,74598599999,BLUE RIDGE,US,VA,KMTV,36.633,-80.017,287,19950708,20071231
745985,63806,745985-63806,74598563806,BLUE RIDGE AIRPORT,US,VA,KMTV,36.631,-80.018,286.8,20060101,20181023
998348,99999,998348-99999,99834899999,BUOY 44041 / JAMESTOWN,US,VA,,37.204,-76.777,3,20180101,20180103
998324,99999,998324-99999,99832499999,BUOY 44058 / STRINGRAY POINT,US,VA,,37.552,-76.251,3,20180101,20180424
998328,99999,998328-99999,99832899999,BUOY 44099 / CAPE HENRY,US,VA,,36.908,-75.775,3,20180101,20180425
992014,99999,992014-99999,99201499999,CAPE CHARLES,US,VA,,37.023,-75.81,3,20180101,20180406
999999,3739,999999-3739,99999903739,CAPE CHARLES 5 ENE,US,VA,,37.291,-75.927,8.8,20040303,20181014
724028,99999,724028-99999,72402899999,CAPE CHARLES COAST GUARD STAT,US,VA,,37.25,-76,2,19790507,19910113
997691,99999,997691-99999,99769199999,CAPE HENRY,US,VA,,36.93,-76.02,3,20070101,20180425
724016,93736,724016-93736,72401693736,CHARLOTTES-ALBEMARLE ARPT,US,VA,KCHO,38.139,-78.453,195.4,19730101,20181023
999999,3759,999999-3759,99999903759,CHARLOTTESVILLE 2 SSE,US,VA,,37.998,-78.466,358.8,20070329,20181014
724016,99999,724016-99999,72401699999,CHARLOTTESVILLE ALB,US,VA,KCHO,38.133,-78.45,195,20000101,20031231
