fips_cd,county_name,clim_div
51073,Gloucester,TIDEWATER
51015,Augusta,CENTRAL MOUNTAIN
51099,King George,TIDEWATER
51069,Frederick,NORTHERN
51131,Northampton,TIDEWATER
51085,Hanover,EASTERN PIEDMONT
51159,Richmond,TIDEWATER
51179,Stafford,TIDEWATER
51199,York,TIDEWATER
51036,Charles City,TIDEWATER
51081,Greensville,TIDEWATER
51193,Westmoreland,TIDEWATER
51149,Prince George,TIDEWATER
51175,Southampton,TIDEWATER
51097,King and Queen,TIDEWATER
51103,Lancaster,TIDEWATER
51093,Isle of Wight,TIDEWATER
51181,Surry,TIDEWATER
51810,Virginia Beach,TIDEWATER
51115,Mathews,TIDEWATER
51730,Petersburg,TIDEWATER
51095,James City,TIDEWATER
51163,Rockbridge,CENTRAL MOUNTAIN
51133,Northumberland,TIDEWATER
51119,Middlesex,TIDEWATER
51019,Bedford,WESTERN PIEDMONT
51067,Franklin,WESTERN PIEDMONT
51041,Chesterfield,EASTERN PIEDMONT
51057,Essex,TIDEWATER
51061,Fauquier,NORTHERN
51059,Fairfax,NORTHERN
51101,King William,TIDEWATER
51195,Wise,SOUTHWESTERN MOUNTAIN
51027,Buchanan,SOUTHWESTERN MOUNTAIN
51153,Prince William,NORTHERN
51025,Brunswick,EASTERN PIEDMONT
51570,Colonial Heights,TIDEWATER
51610,Falls Church,NORTHERN
51540,Charlottesville,WESTERN PIEDMONT
51630,Fredericksburg,EASTERN PIEDMONT
51740,Portsmouth,TIDEWATER
51830,Williamsburg,TIDEWATER
51550,Chesapeake,TIDEWATER
51530,Buena Vista,CENTRAL MOUNTAIN
51580,Covington,CENTRAL MOUNTAIN
51620,Franklin,TIDEWATER
51013,Arlington,NORTHERN
51650,Hampton,TIDEWATER
51683,Manassas,NORTHERN
51710,Norfolk,TIDEWATER
51595,Emporia,TIDEWATER
51678,Lexington,CENTRAL MOUNTAIN
51183,Sussex,TIDEWATER
51820,Waynesboro,CENTRAL MOUNTAIN
51690,Martinsville,WESTERN PIEDMONT
51065,Fluvanna,EASTERN PIEDMONT
51700,Newport News,TIDEWATER
51670,Hopewell,TIDEWATER
51800,Suffolk,TIDEWATER
51001,Accomack,TIDEWATER
51127,New Kent,TIDEWATER
51735,Poquoson,TIDEWATER
51047,Culpeper,NORTHERN
51161,Roanoke,CENTRAL MOUNTAIN
51033,Caroline,EASTERN PIEDMONT
51087,Henrico,EASTERN PIEDMONT
51685,Manassas Park,NORTHERN
51107,Loudoun,NORTHERN
51510,Alexandria,NORTHERN
51137,Orange,NORTHERN
51139,Page,NORTHERN
51600,Fairfax,NORTHERN
51840,Winchester,NORTHERN
51187,Warren,NORTHERN
51197,Wythe,SOUTHWESTERN MOUNTAIN
51157,Rappahannock,NORTHERN
51720,Norton,SOUTHWESTERN MOUNTAIN
51790,Staunton,CENTRAL MOUNTAIN
51171,Shenandoah,NORTHERN
51043,Clarke,NORTHERN
51079,Greene,NORTHERN
51113,Madison,NORTHERN
51051,Dickenson,SOUTHWESTERN MOUNTAIN
51640,Galax,SOUTHWESTERN MOUNTAIN
51750,Radford,SOUTHWESTERN MOUNTAIN
51165,Rockingham,CENTRAL MOUNTAIN
51185,Tazewell,SOUTHWESTERN MOUNTAIN
51121,Montgomery,SOUTHWESTERN MOUNTAIN
51155,Pulaski,SOUTHWESTERN MOUNTAIN
51017,Bath,CENTRAL MOUNTAIN
51023,Botetourt,CENTRAL MOUNTAIN
51091,Highland,CENTRAL MOUNTAIN
51063,Floyd,SOUTHWESTERN MOUNTAIN
51191,Washington,SOUTHWESTERN MOUNTAIN
51005,Alleghany,CENTRAL MOUNTAIN
51167,Russell,SOUTHWESTERN MOUNTAIN
51169,Scott,SOUTHWESTERN MOUNTAIN
51173,Smyth,SOUTHWESTERN MOUNTAIN
51045,Craig,CENTRAL MOUNTAIN
51077,Grayson,SOUTHWESTERN MOUNTAIN
51770,Roanoke,CENTRAL MOUNTAIN
51775,Salem,CENTRAL MOUNTAIN
51021,Bland,SOUTHWESTERN MOUNTAIN
51520,Bristol,SOUTHWESTERN MOUNTAIN
51071,Giles,SOUTHWESTERN MOUNTAIN
51760,Richmond,EASTERN PIEDMONT
51035,Carroll,SOUTHWESTERN MOUNTAIN
51660,Harrisonburg,CENTRAL MOUNTAIN
51105,Lee,SOUTHWESTERN MOUNTAIN
51143,Pittsylvania,WESTERN PIEDMONT
51141,Patrick,WESTERN PIEDMONT
51003,Albemarle,WESTERN PIEDMONT
51031,Campbell,WESTERN PIEDMONT
51011,Appomattox,WESTERN PIEDMONT
51680,Lynchburg,WESTERN PIEDMONT
51089,Henry,WESTERN PIEDMONT
51590,Danville,WESTERN PIEDMONT
51037,Charlotte,WESTERN PIEDMONT
51125,Nelson,WESTERN PIEDMONT
51009,Amherst,WESTERN PIEDMONT
51053,Dinwiddie,EASTERN PIEDMONT
51145,Powhatan,EASTERN PIEDMONT
51111,Lunenburg,EASTERN PIEDMONT
51007,Amelia,EASTERN PIEDMONT
51117,Mecklenburg,EASTERN PIEDMONT
51029,Buckingham,EASTERN PIEDMONT
51147,Prince Edward,EASTERN PIEDMONT
51049,Cumberland,EASTERN PIEDMONT
51075,Goochland,EASTERN PIEDMONT
51135,Nottoway,EASTERN PIEDMONT
51109,Louisa,EASTERN PIEDMONT
51177,Spotsylvania,EASTERN PIEDMONT
51083,Halifax,WESTERN PIEDMONT
51780,South Boston,WESTERN PIEDMONT
51560,Clifton Forge,CENTRAL MOUNTAIN
51515,Bedford,WESTERN PIEDMONT
