county_name_1973,nchs_county_code,county_name_2010,fips_county_code,clim_div
ACCOMACK COUNTY,3,ACCOMACK COUNTY,1,TIDEWATER
ALBEMARLE COUNTY,6,ALBEMARLE COUNTY,3,WESTERN PIEDMONT
ALLEGHANY COUNTY,9,ALLEGHANY COUNTY,5,CENTRAL MOUNTAIN
AMELIA COUNTY,12,AMELIA COUNTY,7,EASTERN PIEDMONT
AMHERST COUNTY,15,AMHERST COUNTY,9,WESTERN PIEDMONT
APPOMATOX COUNTY,18,APPOMATOX COUNTY,11,WESTERN PIEDMONT
ARLINGTON COUNTY,21,ARLINGTON COUNTY,13,NORTHERN
AUGUSTA COUNTY,24,AUGUSTA COUNTY,15,CENTRAL MOUNTAIN
BATH COUNTY,27,BATH COUNTY,17,CENTRAL MOUNTAIN
BEDFORD COUNTY,30,BEDFORD COUNTY,19,WESTERN PIEDMONT
BLAND COUNTY,33,BLAND COUNTY,21,SOUTHWESTERN MOUNTAIN
BOTETOURT COUNTY,36,BOTETOURT COUNTY,23,CENTRAL MOUNTAIN
BRUNSWICK COUNTY,39,BRUNSWICK COUNTY,25,EASTERN PIEDMONT
BUCHANAN COUNTY,42,BUCHANAN COUNTY,27,SOUTHWESTERN MOUNTAIN
BUCKINGHAM COUNTY,45,BUCKINGHAM COUNTY,29,EASTERN PIEDMONT
CAMPBELL COUNTY,48,CAMPBELL COUNTY,31,WESTERN PIEDMONT
CAROLINE COUNTY,51,CAROLINE COUNTY,33,EASTERN PIEDMONT
CARROLL COUNTY,54,CARROLL COUNTY,35,SOUTHWESTERN MOUNTAIN
CHARLES CITY COUNTY,57,CHARLES CITY COUNTY,36,TIDEWATER
CHARLOTTE COUNTY,60,CHARLOTTE COUNTY,37,WESTERN PIEDMONT
CHESTERFIELD COUNTY,63,CHESTERFIELD COUNTY,41,EASTERN PIEDMONT
CLARKE COUNTY,66,CLARKE COUNTY,43,NORTHERN
CRAIG COUNTY,69,CRAIG COUNTY,45,CENTRAL MOUNTAIN
CULPEPER COUNTY,72,CULPEPER COUNTY,47,NORTHERN
CUMBERLAND COUNTY,75,CUMBERLAND COUNTY,49,EASTERN PIEDMONT
DICKENSON COUNTY,78,DICKENSON COUNTY,51,SOUTHWESTERN MOUNTAIN
DINWIDDIE COUNTY,81,DINWIDDIE COUNTY,53,EASTERN PIEDMONT
ESSEX COUNTY,84,ESSEX COUNTY,57,TIDEWATER
FAIRFAX COUNTY,87,FAIRFAX COUNTY,59,NORTHERN
FAUQUIER COUNTY,90,FAUQUIER COUNTY,61,NORTHERN
FLOYD COUNTY,93,FLOYD COUNTY,63,SOUTHWESTERN MOUNTAIN
FLUVANNA COUNTY,96,FLUVANNA COUNTY,65,EASTERN PIEDMONT
FRANKLIN COUNTY,99,FRANKLIN COUNTY,67,WESTERN PIEDMONT
FREDERICK COUNTY,102,FREDERICK COUNTY,69,NORTHERN
GILES COUNTY,105,GILES COUNTY,71,SOUTHWESTERN MOUNTAIN
GLOUCESTER COUNTY,108,GLOUCESTER COUNTY,73,TIDEWATER
GOOCHLAND COUNTY,111,GOOCHLAND COUNTY,75,EASTERN PIEDMONT
GRAYSON COUNTY,114,GRAYSON COUNTY,77,SOUTHWESTERN MOUNTAIN
GREENE COUNTY,117,GREENE COUNTY,79,NORTHERN
GREENSVILLE COUNTY,120,GREENSVILLE COUNTY,81,TIDEWATER
HALIFAX COUNTY,123,HALIFAX COUNTY,83,WESTERN PIEDMONT
HANOVER COUNTY,126,HANOVER COUNTY,85,EASTERN PIEDMONT
HENRICO COUNTY,129,HENRICO COUNTY,87,EASTERN PIEDMONT
HENRY COUNTY,132,HENRY COUNTY,89,WESTERN PIEDMONT
HIGHLAND COUNTY,135,HIGHLAND COUNTY,91,CENTRAL MOUNTAIN
ISLE OF WIGHT COUNTY,138,ISLE OF WIGHT COUNTY,93,TIDEWATER
JAMES CITY COUNTY,141,JAMES CITY COUNTY,95,TIDEWATER
KING AND QUEEN COUNTY,144,KING AND QUEEN COUNTY,97,TIDEWATER
KING GEORGE COUNTY,147,KING GEORGE COUNTY,99,TIDEWATER
KING WILLIAM COUNTY,150,KING WILLIAM COUNTY,101,TIDEWATER
LANCASTER COUNTY,153,LANCASTER COUNTY,103,TIDEWATER
LEE COUNTY,156,LEE COUNTY,105,SOUTHWESTERN MOUNTAIN
LOUDOUN COUNTY,159,LOUDOUN COUNTY,107,NORTHERN
LOUISA COUNTY,162,LOUISA COUNTY,109,EASTERN PIEDMONT
LUNENBURG COUNTY,165,LUNENBURG COUNTY,111,EASTERN PIEDMONT
MADISON COUNTY,168,MADISON COUNTY,113,NORTHERN
MATHEWS COUNTY,171,MATHEWS COUNTY,115,TIDEWATER
MECKLENBURG COUNTY,174,MECKLENBURG COUNTY,117,EASTERN PIEDMONT
MIDDLESEX COUNTY,177,MIDDLESEX COUNTY,119,TIDEWATER
MONTGOMERY COUNTY,180,MONTGOMERY COUNTY,121,SOUTHWESTERN MOUNTAIN
NANSEMOND COUNTY,183,SUFFOLK,800,TIDEWATER
NELSON COUNTY,186,NELSON COUNTY,125,WESTERN PIEDMONT
NEW KENT COUNTY,189,NEW KENT COUNTY,127,TIDEWATER
NORTHAMPTON COUNTY,195,NORTHAMPTON COUNTY,131,TIDEWATER
NORTHUMBERLAND COUNTY,198,NORTHUMBERLAND COUNTY,133,TIDEWATER
NOTTOWAY COUNTY,201,NOTTOWAY COUNTY,135,EASTERN PIEDMONT
ORANGE COUNTY,204,ORANGE COUNTY,137,NORTHERN
PAGE COUNTY,207,PAGE COUNTY,139,NORTHERN
PATRICK COUNTY,210,PATRICK COUNTY,141,WESTERN PIEDMONT
PITTSYLVANIA COUNTY,213,PITTSYLVANIA COUNTY,143,WESTERN PIEDMONT
POWHATAN COUNTY,216,POWHATAN COUNTY,145,EASTERN PIEDMONT
PRINCE EDWARD COUNTY,219,PRINCE EDWARD COUNTY,147,EASTERN PIEDMONT
PRINCE GEORGE COUNTY,222,PRINCE GEORGE COUNTY,149,TIDEWATER
PRINCE WILLIAM COUNTY,225,PRINCE WILLIAM COUNTY,153,NORTHERN
PULASKI COUNTY,231,PULASKI COUNTY,155,SOUTHWESTERN MOUNTAIN
RAPPAHANNOCK COUNTY,234,RAPPAHANNOCK COUNTY,157,NORTHERN
RICHMOND COUNTY,237,RICHMOND COUNTY,159,TIDEWATER
ROANOKE COUNTY,240,ROANOKE COUNTY,161,CENTRAL MOUNTAIN
ROCKBRIDGE COUNTY,243,ROCKBRIDGE COUNTY,163,CENTRAL MOUNTAIN
ROCKINHAM COUNTY,246,ROCKINHAM COUNTY,165,CENTRAL MOUNTAIN
RUSSEL COUNTY,249,RUSSEL COUNTY,167,SOUTHWESTERN MOUNTAIN
SCOTT COUNTY,252,SCOTT COUNTY,169,SOUTHWESTERN MOUNTAIN
SHENANDOAH COUNTY,255,SHENANDOAH COUNTY,171,NORTHERN
SMYTH COUNTY,258,SMYTH COUNTY,173,SOUTHWESTERN MOUNTAIN
SOUTHAMPTON COUNTY,261,SOUTHAMPTON COUNTY,175,TIDEWATER
SPOTSYLVANIA COUNTY,264,SPOTSYLVANIA COUNTY,177,EASTERN PIEDMONT
STAFFORD COUNTY,267,STAFFORD COUNTY,179,TIDEWATER
SURRY COUNTY,270,SURRY COUNTY,181,TIDEWATER
SUSSEX COUNTY,273,SUSSEX COUNTY,183,TIDEWATER
TAZEWELL COUNTY,276,TAZEWELL COUNTY,185,SOUTHWESTERN MOUNTAIN
WARREN COUNTY,279,WARREN COUNTY,187,NORTHERN
WASHINGTON COUNTY,282,WASHINGTON COUNTY,191,SOUTHWESTERN MOUNTAIN
WESTMORELAND COUNTY,285,WESTMORELAND COUNTY,193,TIDEWATER
WISE COUNTY,288,WISE COUNTY,195,SOUTHWESTERN MOUNTAIN
WYTHE COUNTY,291,WYTHE COUNTY,197,SOUTHWESTERN MOUNTAIN
YORK COUNTY,294,YORK COUNTY,199,TIDEWATER
ALEXANDRIA (FAIRFAX),300,ALEXANDRIA,510,NORTHERN
BEDFORD (BEDFORD),303,BEDFORD COUNTY,19,WESTERN PIEDMONT
BRISTOL (WASHINGTON),306,BRISTOL,520,SOUTHWESTERN MOUNTAIN
BUENA VISTA (ROCKBRIDGE),309,BUENA VISTA,530,CENTRAL MOUNTAIN
CHARLOTTESVILLE (ALBEMARLE),312,CHARLOTTESVILLE,540,WESTERN PIEDMONT
CHESAPEAKE,315,CHESAPEAKE,550,TIDEWATER
CLIFTON FORGE (ALLEGHANY),318,ALLEGHANY COUNTY,5,CENTRAL MOUNTAIN
COLONIAL HEIGHTS (CHESTERFIELD),321,COLONIAL HEIGHTS ,570,TIDEWATER
COVINGTON (ALLEGHANY),324,COVINGTON,580,CENTRAL MOUNTAIN
DANVILLE (PITTSYLVANIA),327,DANVILLE,590,WESTERN PIEDMONT
EMPORIA (GREENSVILLE),330,EMPORIA,595,TIDEWATER
FAIRFAX (FAIRFAX),333,FAIRFAX,600,NORTHERN
FALLS CHURCH (FAIRFAX),336,FALLS CHURCH ,610,NORTHERN
FRANKLIN (SOUTHAMPTON),339,FRANKLIN,620,TIDEWATER
FREDERICKSBURG (SPOTTSYLVANIA),342,FREDERICKSBURG,630,EASTERN PIEDMONT
GALAX (CARROL & GRAYSON),345,GALAX,640,SOUTHWESTERN MOUNTAIN
HAMPTON ,348,HAMPTON,650,TIDEWATER
HARRISONBURG (ROCKINGHAM),351,HARRISONBURG,660,CENTRAL MOUNTAIN
HOPEWELL (PRINCE GEORGE),354,HOPEWELL,670,TIDEWATER
LEXINGTON (ROCKBRIDGE),357,LEXINGTON,678,CENTRAL MOUNTAIN
LYNCHBURG (CAMPBELL),360,LYNCHBURG,680,WESTERN PIEDMONT
MARTINSVILLE (HENRY),363,MARTINSVILLE,690,WESTERN PIEDMONT
NEWPORT NEWS,366,NEWPORT NEWS,700,TIDEWATER
NORFOLK,369,NORFOLK,710,TIDEWATER
NORTON (WISE),372,NORTON,720,SOUTHWESTERN MOUNTAIN
PETERSBURG (DINWIDDIE),375,PETERSBURG,730,TIDEWATER
PORTSMOUTH,378,PORTSMOUTH,740,TIDEWATER
RADFORD (MONTGOMERY),381,RADFORD,750,SOUTHWESTERN MOUNTAIN
RICHMOND (HENRICO),384,RICHMOND,760,EASTERN PIEDMONT
ROANOKE (ROANOKE),387,ROANOKE,770,CENTRAL MOUNTAIN
SALEM (ROANOKE),390,SALEM,775,CENTRAL MOUNTAIN
SOUTH BOSTON (HALIFAX),393,HALIFAX COUNTY,83,WESTERN PIEDMONT
