Date,Station,Tmax
2015-01-01,USC00440187,42.08
2015-01-01,USC00440243,39.02
2015-01-01,USC00440327,46.04
2015-01-01,USC00440735,35.96
2015-01-01,USC00440766,33.98
2015-01-01,USC00440860,37.94
2015-01-01,USC00440993,44.96
2015-01-01,USC00441082,39.92
2015-01-01,USC00441209,26.96
2015-01-01,USC00441322,42.980000000000004
2015-01-01,USC00441585,44.06
2015-01-01,USC00441593,39.02
2015-01-01,USC00441606,44.96
2015-01-01,USC00441614,41.0
2015-01-01,USC00441692,32.0
2015-01-01,USC00441746,44.06
2015-01-01,USC00441825,33.08
2015-01-01,USC00441999,28.939999999999998
2015-01-01,USC00442009,46.04
2015-01-01,USC00442044,35.96
2015-01-01,USC00442142,48.92
2015-01-01,USC00442208,37.94
2015-01-01,USC00442400,42.980000000000004
2015-01-01,USC00442635,41.0
2015-01-01,USC00442663,35.96
2015-01-01,USC00442790,46.04
2015-01-01,USC00442941,42.08
2015-01-01,USC00443204,39.92
2015-01-01,USC00443213,39.92
2015-01-01,USC00443229,35.06
2015-01-01,USC00443267,33.08
2015-01-01,USC00443272,35.06
2015-01-01,USC00443310,32.0
2015-01-01,USC00443640,35.06
2015-01-01,USC00444044,51.08
2015-01-01,USC00444101,50.0
2015-01-01,USC00444128,30.02
2015-01-01,USC00444414,44.06
2015-01-01,USC00444777,33.08
2015-01-01,USC00444876,35.96
2015-01-01,USC00444909,33.98
2015-01-01,USC00445050,46.04
2015-01-01,USC00445096,35.06
2015-01-01,USC00445150,41.0
2015-01-01,USC00445204,37.04
2015-01-01,USC00445300,41.0
2015-01-01,USC00445453,37.04
2015-01-01,USC00445595,28.939999999999998
2015-01-01,USC00445690,30.02
2015-01-01,USC00445700,35.96
2015-01-01,USC00445851,32.0
2015-01-01,USC00445880,39.02
2015-01-01,USC00446125,30.919999999999998
2015-01-01,USC00446147,48.92
2015-01-01,USC00446161,39.92
2015-01-01,USC00446475,46.04
2015-01-01,USC00446491,41.0
2015-01-01,USC00446656,48.92
2015-01-01,USC00446712,37.94
2015-01-01,USC00446955,37.04
2015-01-01,USC00446999,33.08
2015-01-01,USC00447174,41.0
2015-01-01,USC00447278,37.94
2015-01-01,USC00447338,39.92
2015-01-01,USC00447506,33.98
2015-01-01,USC00447541,39.92
2015-01-01,USC00447904,39.92
2015-01-01,USC00447925,44.96
2015-01-01,USC00448022,33.98
2015-01-01,USC00448062,35.96
2015-01-01,USC00448084,35.96
2015-01-01,USC00448129,50.0
2015-01-01,USC00448170,42.980000000000004
2015-01-01,USC00448192,48.92
2015-01-01,USC00448600,42.08
2015-01-01,USC00448737,35.06
2015-01-01,USC00448800,50.0
2015-01-01,USC00448829,48.019999999999996
2015-01-01,USC00448837,46.04
2015-01-01,USC00448888,35.96
2015-01-01,USC00448894,44.96
2015-01-01,USC00448941,35.96
2015-01-01,USC00449025,46.94
2015-01-01,USC00449151,48.92
2015-01-01,USC00449181,35.06
2015-01-01,USC00449215,30.919999999999998
2015-01-01,USC00449263,35.96
2015-01-01,USC00449301,33.98
2015-02-01,USC00440243,42.08
2015-02-01,USC00440327,46.94
2015-02-01,USC00440735,44.96
2015-02-01,USC00440766,41.0
2015-02-01,USC00440860,35.96
2015-02-01,USC00440993,46.04
2015-02-01,USC00441082,46.04
2015-02-01,USC00441209,37.94
2015-02-01,USC00441322,42.980000000000004
2015-02-01,USC00441585,41.0
2015-02-01,USC00441593,42.08
2015-02-01,USC00441606,46.94
2015-02-01,USC00441614,44.96
2015-02-01,USC00441692,41.0
2015-02-01,USC00441746,46.04
2015-02-01,USC00441825,42.08
2015-02-01,USC00441999,37.04
2015-02-01,USC00442009,46.94
2015-02-01,USC00442044,42.980000000000004
2015-02-01,USC00442142,41.0
2015-02-01,USC00442208,39.02
2015-02-01,USC00442400,46.04
2015-02-01,USC00442635,33.98
2015-02-01,USC00442663,39.02
2015-02-01,USC00442790,44.96
2015-02-01,USC00442941,44.96
2015-02-01,USC00443204,39.02
2015-02-01,USC00443213,42.08
2015-02-01,USC00443229,37.04
2015-02-01,USC00443267,46.94
2015-02-01,USC00443272,42.08
2015-02-01,USC00443310,39.92
2015-02-01,USC00443640,39.92
2015-02-01,USC00444044,53.06
2015-02-01,USC00444101,50.0
2015-02-01,USC00444128,37.94
2015-02-01,USC00444414,48.019999999999996
2015-02-01,USC00444777,41.0
2015-02-01,USC00444876,44.06
2015-02-01,USC00444909,32.0
2015-02-01,USC00445050,46.04
2015-02-01,USC00445096,37.94
2015-02-01,USC00445150,42.980000000000004
2015-02-01,USC00445204,35.06
2015-02-01,USC00445300,48.019999999999996
2015-02-01,USC00445453,46.04
2015-02-01,USC00445595,37.04
2015-02-01,USC00445690,37.04
2015-02-01,USC00445700,39.02
2015-02-01,USC00445851,32.0
2015-02-01,USC00445880,39.02
2015-02-01,USC00446125,39.02
2015-02-01,USC00446147,48.019999999999996
2015-02-01,USC00446161,37.04
2015-02-01,USC00446475,44.06
2015-02-01,USC00446491,42.08
2015-02-01,USC00446656,59.0
2015-02-01,USC00446712,41.0
2015-02-01,USC00446955,50.0
2015-02-01,USC00446999,37.94
2015-02-01,USC00447174,39.92
2015-02-01,USC00447278,44.96
2015-02-01,USC00447338,48.019999999999996
2015-02-01,USC00447506,42.08
2015-02-01,USC00447541,39.02
2015-02-01,USC00447904,42.08
2015-02-01,USC00447925,46.04
2015-02-01,USC00447985,39.92
2015-02-01,USC00448022,41.0
2015-02-01,USC00448062,42.08
2015-02-01,USC00448084,33.08
2015-02-01,USC00448129,50.0
2015-02-01,USC00448170,50.0
