station_name,lat,lon,elevation,state
USC00440013,36.6667,-82.1,609.9,VA
USC00440021,36.6686,-81.9647,586.7,VA
USC00440055,38.0333,-78.8333,381,VA
USC00440079,36.94,-77.8981,114.6,VA
USC00440090,38.8,-77.0833,21,VA
USC00440097,38.8167,-77.05,6.1,VA
USC00440135,36.9247,-80.7283,554.7,VA
USC00440166,37.1122,-79.275,161.2,VA
USC00440187,37.345,-77.9781,105.2,VA
USC00440188,37.4256,-77.8914,27.4,VA
USC00440193,38.6833,-78.0167,167.9,VA
USC00440216,38.8167,-77.2,95.1,VA
USC00440243,37.3261,-78.8275,259.1,VA
USC00440280,38.5833,-77.5833,83.8,VA
USC00440327,37.75,-77.4833,67.1,VA
USC00440356,38.1167,-79.3,519.1,VA
USC00440357,38.0833,-79.35,473,VA
USC00440370,37.9997,-78.8264,244.1,VA
USC00440385,36.6619,-75.9114,3,VA
USC00440390,38.8667,-77.35,116.1,VA
USC00440403,38.85,-77.1333,78.9,VA
USC00440411,37.6167,-79.45,223.1,VA
USC00440440,38.15,-77.2667,167.6,VA
USC00440449,38.8667,-77.1,57.9,VA
USC00440495,37.15,-81.1667,678.2,VA
USC00440551,37.3339,-79.5069,272.5,VA
USC00440561,37.3789,-79.5589,374.3,VA
USC00440670,39.15,-77.9833,182.9,VA
USC00440712,36.6667,-82.5,961,VA
USC00440720,38.5217,-78.4356,1079,VA
USC00440725,38.5,-78.4167,1007.1,VA
USC00440733,36.8667,-82.7667,454.2,VA
USC00440735,36.8567,-82.7997,446.8,VA
USC00440737,36.8833,-82.7333,472.4,VA
USC00440755,37.4167,-75.8667,12.2,VA
USC00440765,37.25,-80.4167,662,VA
USC00440766,37.2039,-80.4144,641,VA
USC00440792,37.0997,-81.1161,609.6,VA
USC00440835,37.4,-76.35,3,VA
USC00440860,38.5458,-78.0981,179.8,VA
USC00440880,37.5333,-77.6833,63.1,VA
USC00440937,38.05,-77.35,70.1,VA
USC00440956,36.5833,-77.2,11.9,VA
USC00440958,36.5833,-77.2,12.2,VA
USC00440975,36.5667,-77.25,12.2,VA
USC00440982,37.2889,-82.2928,577,VA
USC00440993,37.7092,-78.2886,68.6,VA
USC00441037,36.6,-82.1667,609.9,VA
USC00441047,36.6167,-82.1667,586.1,VA
USC00441082,37.0678,-78.9517,124.4,VA
USC00441099,37.9408,-79.3517,381,VA
USC00441121,37.5247,-79.6817,268.2,VA
USC00441136,37.5083,-78.5333,176.8,VA
USC00441159,37.7267,-79.3628,256,VA
USC00441180,36.6,-78.3,98.5,VA
USC00441200,36.8333,-77.6833,79.2,VA
USC00441202,37.8833,-76.3333,31.1,VA
USC00441209,37.0908,-81.3364,935.1,VA
USC00441255,36.8,-80.9167,634,VA
USC00441259,36.7719,-80.9386,797.1,VA
USC00441316,37.2333,-77.3333,18,VA
USC00441322,37.0375,-77.9461,100.6,VA
USC00441350,37.2678,-76.0175,0.9,VA
USC00441362,36.9333,-76,13.1,VA
USC00441375,36.7333,-77.25,14.9,VA
USC00441383,37.4167,-76.3667,3,VA
USC00441434,38.6047,-78.11,164.9,VA
USC00441471,37.3833,-80.0833,573,VA
USC00441490,38.85,-77.5667,83.8,VA
USC00441508,38.5833,-78.5333,-999.9,VA
USC00441570,38.8833,-77.4333,98.1,VA
USC00441585,37.0522,-78.6497,173.4,VA
USC00441593,38.0328,-78.5225,264,VA
USC00441598,38.0333,-78.5167,164.9,VA
USC00441606,36.7775,-78.4756,155.4,VA
USC00441614,36.8225,-79.4103,198.4,VA
USC00441619,36.85,-79.4,259.1,VA
USC00441636,37.2833,-75.9667,3,VA
USC00441675,36.7833,-81.6833,609.9,VA
USC00441683,37.9333,-75.4667,11.9,VA
USC00441687,37.9167,-75.35,3,VA
USC00441690,37.6167,-76.5667,32.6,VA
USC00441691,37.1833,-80.3,658.4,VA
USC00441692,37.1278,-80.4033,640.1,VA
USC00441708,38.2333,-79.1667,451.1,VA
USC00441729,38.9,-77.0833,67.1,VA
USC00441746,36.6214,-78.5506,100.6,VA
USC00441776,36.95,-82.15,470,VA
USC00441801,37.85,-79.8333,426.7,VA
USC00441808,37.1667,-82.3167,467,VA
USC00441816,36.6667,-82.75,384,VA
USC00441825,37.1453,-82.4911,542.5,VA
USC00441913,38.2506,-76.9628,3,VA
